,tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
0,"['coronavirus', 'cases', 'sick', 'NY', 'man', 'Westchester', 'public', 'school', 'district', 'closed', '1000', 'people', 'quarantined', 'ABC', 'NEWS', 'WNT', 'p_cmsid=2494279', 'p_vid=news-69397096']",UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,25,Coronavirus cases linked to sick NY man jumps to 11 | WNT,bDX5SxQP7LI,11925,1224,101,804,0
1,"['Nightly News', 'Health', 'Coronavirus', 'NBC Nightly News with Lester Holt']",UCeY0bbntWzzVIaj2z3QigXg,NBC News,25,"Coronavirus: WHO Says Death Toll Rising, Expert Says 80% Of Cases ‘Spontaneously Recover’ | NBC News",fbqD5zD-yXg,584933,4155,542,3082,0
2,"['video', 'cbs', 'news', 'coronavirus', 'death toll', 'rising', 'washington', 'seattle', 'los angeles new york city']",UCAeWdyKJXGWmVAXFpgLNNTg,CBS Evening News,25,California reports first coronavirus death,zzUm8IhVTKo,3250,288,37,224,0
3,"['coronavirus', 'covid19', 'corona', 'outbreak', 'pandemic', 'epidemic', 'plan', 'uk', 'nhs', 'panic', 'fear', 'worry', 'cases', 'england', 'scotland', 'wales', 'northern ireland', 'wash hands', 'how does it affect me', 'what do i do', 'how bad', 'economics', 'money', 'jobs', 'work', 'bbc', 'interview', 'snp', 'spiegelhalter', 'professor', 'expert', 'experts', 'analysis', 'explain', 'how', 'why', 'explainer']",UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,25,Coronavirus cases pass 50 as UK publishes its plan - BBC Newsnight,icXrtkBuYsg,438956,2165,369,2576,0
4,"['NYC', 'disinfecting', 'trains', 'buses', 'stations', '110', 'cases', 'US', 'ABC', 'NEWS', 'WNT', 'p_cmsid=2494279', 'p_vid=news-69368826', 'coronavirus', 'updates', 'symptoms', 'preparation', 'city', 'testing', 'hospital', 'doctor', '2020', 'world news tonight', 'outbreak', 'NYC subway', 'MTA', 'coronavirus cases NYC']",UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,25,"NYC disinfecting trains, stations as coronavirus cases grow nationwide | WNT",EpJhCvT7zMs,232813,2504,136,1513,0
5,"['coronavirus', 'corona virus', 'coronavirus update', 'coronavirus outbreak', 'covid-19', 'novel coronavirus', 'corona virus update', 'coronavirus pandemic', 'coronavirus death toll', 'covid-19 outbreak', 'italy coronavirus', 'coronavirus us', 'coronavirus spread', 'coronavirus cases', 'coronavirus transmission', 'coronavirus news', 'coronavirus epidemic', 'coronavirus latest news', 'coronavirus prevention', 'coronavirus washington', 'SARScov2', 'coronavirus testing', 'coronavirus test', 'coronavirus south korea', 'covid19']",UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,27,"Coronavirus Epidemic Update 29: Testing problems, mutations, COVID-19 in Washington &amp; Iran",XjEacUyp4vY,338667,7663,188,2179,0
6,"['Health', 'Health tips', ""Editor's picks"", 'Big News', 'Coronavirus', 'Today', 'The TODAY Show', 'TODAY Show', 'NBC', 'NBC News', 'TODAY Show Interview', 'Donna Farizan', 'Al Roker', 'TODAY show news', 'news', 'coronavirus update', 'coronavirus us', 'coronavirus news', 'coronavirus latest news', 'coronavirus symptoms', 'illness', 'center for disease control', 'safety', 'symptoms', 'sickness', 'coronavirus outbreak', 'COVID-19', 'pandemic', 'coronavirus pandemic', 'coronavirus prevention', 'covid-19 news', 'covid-19 updates', 'The latest on today']",UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,25,Over 100 Coronavirus Cases Confirmed In US; More Deaths In Washington State | TODAY,YE6alcjmUfs,601584,6052,664,4083,0
7,"['video', 'cbs', 'news', 'coronavirus', 'death', 'center of disease control', 'united states', 'quarantine']",UCAeWdyKJXGWmVAXFpgLNNTg,CBS Evening News,25,Coronavirus death toll rises in U.S.,PUMxPbOO8rc,172537,3039,171,1610,0
8,"['Nightly News', 'Health', 'Coronavirus', 'NBC Nightly News with Lester Holt', 'nbc news', 'news', 'breaking news', 'us news', 'world news', 'politics', 'current events', 'top stories', 'pop culture', 'business', 'nbc nightly news', 'lester holt', 'nbc news lester holt', 'nbc nightly news episode', 'nbc news full', 'nightly news full', 'COVID-19', 'pandemic', 'outbreak', 'coronavirus pandemic', 'coronavirus outbreak', 'coronavirus prevention', 'coronavirus explained', 'covid-19 news', 'covid-19 updates', 'covid-19 outbreak']",UCeY0bbntWzzVIaj2z3QigXg,NBC News,25,Coronavirus: U.S. Death Toll Rises As More Cases Reported | NBC Nightly News,HBvYBm2wJR0,103437,677,42,466,0
9,"['Nine News Australia', 'Channel 9', 'Nine news', 'channel 9 news', 'Australia News', 'Australian News', 'Sydney News', 'Melbourne News', 'Latest news Australia', 'coronavirus', 'corona virus', 'virus', 'virus in china', 'virus in china 2020', 'christmas island', 'evacuation', 'hubei china', 'wuhan', 'australians evacuated', 'disease', 'outbreak', 'virus outbreak', 'government', 'scott morrison', 'federal government australia']",UCIYLOcEUX6TbBo7HQVF2PKA,Nine News Australia,25,"News Update Newest coronavirus cases, Police smash drug syndicate | Nine News Australia",4rTzoh7zax0,63210,454,43,[],0
